OBJECTID,NAME,DESCRIPTION,UPDATE_DATE,Shape__Area,Shape__Length
1022,,LAKE/POND,1456617600000,4469.83764648438,328.122751238961
1023,,LAKE/POND,1456617600000,1336.61340332031,150.099021009455
1024,,LAKE/POND,1456617600000,11549.4097900391,585.497850793431
1025,,LAKE/POND,1456617600000,1409.98486328125,146.111920790201
1026,,LAKE/POND,1456617600000,1653.01782226563,163.788432409892
1027,,LAKE/POND,1456617600000,9263.54577636719,363.724715069182
1028,,LAKE/POND,1456617600000,22946.0450439453,585.862873185923
1029,,LAKE/POND,1456617600000,4956.14050292969,294.944557180129
1030,,LAKE/POND,1456617600000,4472.62707519531,413.709966653776
1031,,LAKE/POND,1456617600000,22350.4736328125,595.321291256476
1032,,LAKE/POND,1456617600000,147832.598022461,2089.70745160329
1033,,LAKE/POND,1456617600000,19329.7340087891,785.536592258156
1034,,LAKE/POND,1456617600000,9087.08203125,402.630066282937
1035,,RESERVOIR,1456617600000,3286.08654785156,345.653815781122
1036,,RESERVOIR,1456617600000,84808.8934326172,1381.09643937856
1037,,LAKE/POND,1456617600000,8355.95336914063,395.315281228657
1038,,LAKE/POND,1456617600000,109236.499145508,4443.81514193875
1039,,LAKE/POND,1456617600000,128928.526489258,1685.89725756591
1040,,LAKE/POND,1456617600000,34741.8988037109,1067.65802946699
1041,,LAKE/POND,1456617600000,43580.9995117188,920.019238931422
1042,,LAKE/POND,1456617600000,60009.8427734375,965.097685006025
1043,,LAKE/POND,1456617600000,59680.7197265625,1282.70718599485
1044,,LAKE/POND,1456617600000,19038.9761962891,534.220083912873
1045,,LAKE/POND,1456617600000,1630.85876464844,177.42809274788
1046,,LAKE/POND,1456617600000,2107.90502929688,185.852512650227
1047,,LAKE/POND,1456617600000,5381.6279296875,650.695564758507
1048,,RESERVOIR,1456617600000,7935.90979003906,385.304019127007
1049,,RESERVOIR,1456617600000,2617.05944824219,217.382779478479
1050,,LAKE/POND,1456617600000,35463.5634765625,810.74717614479
1051,,LAKE/POND,1456617600000,3547.37341308594,255.81912184401
1052,,LAKE/POND,1456617600000,81040.1650390625,1276.47210949862
1053,,LAKE/POND,1456617600000,23797.1102294922,718.39038307617
1054,,LAKE/POND,1456617600000,153913.127197266,2107.20699069226
1055,,LAKE/POND,1456617600000,30624.2943115234,822.286908143429
1056,,LAKE/POND,1456617600000,3267.845703125,385.750421115346
1057,,LAKE/POND,1456617600000,73457.8630371094,1177.65899291013
1058,,LAKE/POND,1456617600000,12480.98046875,610.182422729836
1059,,LAKE/POND,1456617600000,66358.9791259766,1037.94206384615
1060,,RESERVOIR,1456617600000,15393.9733886719,525.725995208299
1061,,RESERVOIR,1456617600000,9419.95581054688,405.919154574373
1062,,RESERVOIR,1456617600000,19542.9256591797,604.785630392698
1063,,RESERVOIR,1456617600000,5743.138671875,304.039136995717
1064,,RESERVOIR,1456617600000,7993.07543945313,370.473599836216
1065,,RESERVOIR,1456617600000,2852.81018066406,230.917382860994
1066,,STREAM/RIVER,1456617600000,55019.5093994141,4671.18612383135
1067,,LAKE/POND,1456617600000,6543.90686035156,401.410935222014
1068,,LAKE/POND,1456617600000,32117.5570068359,717.851354490353
1069,,LAKE/POND,1456617600000,2816.16589355469,221.389293862178
1070,,LAKE/POND,1456617600000,4221.53039550781,278.121161148589
1071,,LAKE/POND,1456617600000,138114.957885742,2397.76277409338
1072,,LAKE/POND,1456617600000,348636.692016602,3955.83647498931
1073,,LAKE/POND,1456617600000,5478.95532226563,274.100849926007
1074,,LAKE/POND,1456617600000,16406.3220214844,499.651014881129
1075,,RESERVOIR,1456617600000,2361.46423339844,221.095114010261
1076,,LAKE/POND,1456617600000,12632.1420898438,481.369173096587
1077,,STREAM/RIVER,1456617600000,9273044.35693359,237233.557525447
1078,,LAKE/POND,1456617600000,3975.20642089844,247.809185656775
1079,,LAKE/POND,1456617600000,9664.69946289063,393.936880989128
1080,,LAKE/POND,1456617600000,12306.6291503906,497.981131093234
1081,,LAKE/POND,1456617600000,26399.5743408203,728.28400713877
1082,,LAKE/POND,1456617600000,11952.7126464844,492.995307930505
1083,,LAKE/POND,1456617600000,3885.427734375,284.083138094359
1084,,LAKE/POND,1456617600000,62112.0318603516,1900.12125725359
1085,,LAKE/POND,1456617600000,23275.5307617188,769.849491315567
1086,,LAKE/POND,1456617600000,34713.3353271484,760.024005671712
1087,,LAKE/POND,1456617600000,94720.5380859375,1472.95837118926
1088,,LAKE/POND,1456617600000,187957.562744141,2503.32327824983
1089,,RESERVOIR,1456617600000,3964.75708007813,393.083188938193
1090,,RESERVOIR,1456617600000,13510.0186767578,508.558446202607
